X,Y,Z
2233293.967509001,702854.0742259994,5925538.432018341
2233292.6584715056,702852.377081638,5925539.126690712
2233291.361699707,702850.640960491,5925539.821362562
2233290.064926486,702848.9048408909,5925540.516033889
2233280.3537277244,702835.9100216469,5925545.932490698
2233280.674212286,702835.9252042046,5925545.809902368
2233283.24221411,702838.789635317,5925544.502292496
2233282.848128474,702839.008321458,5925544.624881
2233283.234584241,702841.914457433,5925544.134526887
2233282.247566884,702841.2611214613,5925544.584018168
2233281.557015199,702841.043796393,5925544.870057959
2233273.669631134,702841.6459136964,5925547.771313708
2233270.167396984,702843.0283450835,5925549.142338232
2233259.925804691,702846.1880774663,5925552.842526058
2233253.6924777445,702848.4244909312,5925554.926510595
2233250.2203256316,702850.8444737506,5925555.948069927
2233245.4755129875,702853.7635164664,5925557.6051208265
2233234.6720847464,702857.7744137339,5925561.200995098
2233234.270996239,702858.5049426241,5925561.695596592
2233234.4601278757,702861.3489454668,5925561.286975248
2233234.0400521783,702863.2729667384,5925561.432120648
2233231.5861492604,702865.1137779842,5925562.353646561
2233228.060613476,702866.9600136947,5925564.3235396305
2233226.8866015,702867.4901150179,5925564.918167822
2233225.228615977,702868.4247884431,5925565.862251611
2233223.619699357,702869.2035516332,5925566.8063351195
2233222.819253683,702869.6798716976,5925567.051507113
2233222.002527672,702870.1082293654,5925567.5235486915
2233218.21929658,702870.1169825053,5925569.593463943
2233215.559986537,702869.0658170846,5925571.150474347
2233214.294043983,702868.4103544002,5925572.135417732
2233213.5309113595,702869.1126042244,5925572.339726933
2233211.9279753366,702868.6937808533,5925572.993516073
2233208.5597859733,702866.0058595758,5925575.226872198
2233207.807386778,702865.6405408843,5925575.553766034
2233203.96193591,702862.2026886718,5925578.486027895
2233199.7536379583,702857.7510572014,5925581.89032491
2233198.5485120825,702856.5578534246,5925582.916125468
2233193.5538543826,702854.2148067859,5925585.721530635
2233187.3057022006,702849.164038244,5925588.890418035
2233185.320939393,702848.9249105657,5925589.666782306
2233185.0367405666,702848.4499298556,5925589.830227333
2233175.910497438,702844.4210349707,5925594.392646479
2233173.706072548,702842.6134777276,5925595.867911729
2233172.9899534495,702841.7883774376,5925596.235660959
2233168.5891288826,702838.3471458931,5925598.732448338
2233165.277070303,702837.6474460996,5925600.493735779
2233163.5096068755,702836.9626671787,5925601.456100455
2233159.819227172,702836.1867350463,5925603.1539586615
2233156.6986853513,702834.7334126928,5925604.502363053
2233155.918245119,702834.7019701231,5925605.0152572915
2233154.5586832077,702834.7881181951,5925605.732454827
2233149.503171204,702832.9828278986,5925608.496954712
2233148.3433771175,702832.1894444333,5925609.028142105
2233143.5246418254,702829.087912635,5925612.2872349
2233139.2415264295,702827.1401956294,5925614.992570354
2233136.5867150635,702826.5188383606,5925616.281808821
2233131.880438665,702824.4379442903,5925619.377448657
2233126.926152475,702824.3779633074,5925621.896765271
2233122.1593640363,702823.4774316894,5925624.230069012
2233118.5273218527,702823.1053765907,5925626.073048815
2233118.0678837677,702823.4319737259,5925626.422497989
2233118.0678837677,702823.4319737259,5925626.422497989
2233118.0678837677,702823.4319737259,5925626.422497989
2233118.0678837677,702823.4319737259,5925626.422497989
2233115.3802873264,702823.014471933,5925627.48485756
2233112.1908773384,702821.9250050563,5925629.246113583
2233110.4239213425,702821.583074082,5925630.167600749
2233097.6859817184,702819.9728815217,5925636.019107986
2233093.3628554256,702819.0406240587,5925638.188949725
2233087.214417683,702817.3625449839,5925641.135118287
2233077.5559284645,702811.9239701178,5925646.065099351
2233076.3022159943,702811.2295460367,5925647.05000761
2233073.5783920833,702808.316201049,5925648.852099644
2233071.600296908,702806.9226115687,5925649.977870233
2233070.4983202033,702806.190275626,5925650.695048771
2233065.2847077,702803.2643688032,5925653.436894678
2233056.2743037036,702800.0002155136,5925657.649654778
2233055.0251294277,702799.7355722974,5925658.366829739
2233045.9735311647,702798.8143534876,5925662.747299177
2233044.7494107573,702798.8146005215,5925663.4236133015
2233040.0057125837,702799.4633515284,5925665.779423013
2233036.0915267495,702799.987656756,5925667.622351237
2233027.841555863,702801.9315827489,5925671.575928325
2233026.8560818033,702802.3067715811,5925671.902795406
2233020.7391245672,702804.707824195,5925674.99833888
2233017.064819899,702805.992943928,5925677.090703177
2233015.2370412936,702806.1886936586,5925677.971303358
2233008.1861243243,702807.8674206673,5925681.28940884
2233005.233915331,702808.780114209,5925682.723739879
2233000.8278404837,702812.1907572987,5925685.269834307
2233000.4353157594,702813.4379001219,5925685.269834307
2233001.076762684,702818.4800276366,5925685.505301102
2233003.904176891,702821.2546314737,5925684.755874782
2233010.0719216685,702824.0954010803,5925682.739842645
2233014.7588514523,702825.7847504787,5925681.41839421
2233020.5007616,702829.7336973494,5925679.216338438
2233024.379517236,702832.3680511132,5925677.8723039515
2233027.379168386,702834.9398893117,5925677.082003386
2233032.1231099367,702841.3161797925,5925675.828265011
2233032.60111103,702842.1091507047,5925675.769123118
2233033.0286021633,702844.6852848015,5925675.732556499
2233030.7444665167,702847.2646323884,5925676.717457166
2233028.558878862,702847.2192389976,5925677.761499199
2233021.043326716,702845.7960753411,5925681.837660696
2233019.621383951,702845.3913518989,5925682.636548436
2233009.6614908585,702841.3997767498,5925687.938448032
2233008.436849221,702841.0571542743,5925688.655616198
2232999.006396786,702839.7166116289,5925693.013459642
2232992.799182868,702839.9474206371,5925695.755248311
2232991.6158800717,702839.9176458538,5925696.2046862915
2232987.809597418,702841.0326458412,5925698.151888993
2232986.639077782,702841.3067308113,5925698.560468208
2232981.904423928,702842.8148562899,5925700.380794048
2232980.1302434932,702843.2844381193,5925700.993661471
2232978.7629362815,702843.839250524,5925701.443097322
2232976.221085176,702844.5812071058,5925702.527979212
2232965.6933931294,702848.2494419611,5925707.135224753
2232963.5701641664,702848.6948115437,5925708.097529815
2232958.8807416083,702849.6602854882,5925710.825316213
2232949.5823150543,702851.1453509951,5925715.228252436
2232935.3186178524,702853.9373223778,5925721.347177525
2232934.3904419555,702854.0306634534,5925721.900902892
2232926.1898585353,702853.5053838547,5925725.913511565
2232917.456730763,702853.8832885468,5925730.234691521
2232905.544781856,702855.0595528202,5925735.658989899
2232903.603070387,702855.8618420314,5925736.725575812
2232900.634528209,702856.7264064751,5925738.386738711
2232899.645013913,702857.0145936701,5925738.94045943
2232894.64888603,702858.9542319389,5925741.668204712
2232891.6547779357,702859.2110783082,5925743.411077185
2232878.4278853377,702860.8299667821,5925748.4181347685
2232865.8790948675,702863.0049075414,5925752.458571047
2232860.9050586955,702864.0947785564,5925753.988509947
2232850.061391244,702866.4637249353,5925757.148356028
2232844.2844089274,702868.9712592491,5925759.02771957
2232837.398488704,702873.9137764913,5925761.896262561
2232833.305157875,702878.7502130951,5925762.649928412
2232831.130729236,702883.5910491496,5925762.895061716
2232828.2973493515,702890.2803850797,5925762.954182493
2232827.756549231,702891.3094400596,5925763.035893556
2232824.4903582414,702894.0076340544,5925764.161582754
2232818.620243046,702897.5993796041,5925765.732354577
2232809.2786589,702901.9400387229,5925767.662165685
2232808.00998288,702902.5257850552,5925768.07071837
